id;local;tipo_de_armazenamento;endereco
1;Marginal Piauí;Cambridgeshire Frango capacitor;Gerais
2;open-source Solutions;Dinar Incrível Principal;intranet
3;Personal override Marginal;EXE Borracha;Officer integrated
4;hard amarelo;Toalhas program;efficient
5;Account;Avenida;verde
6;transmit sensor experiences;Prático;Borders bandwidth
7;Sem;Programmable;out-of-the-box matrix Genérico
8;copy Helena generate;3rd initiatives;RAM Future
9;Brinquedos Concreto;Rial;port
10;eco-centric;system-worthy Pizza;Bahia payment
