id;nome_produto;altura;largura;comprimento;codigo_de_barra;tipo_de_produto;validade
1;Specialist;São Strategist Consultant;Anguila;Bicicleta vermelho program;time-frame Montenegro 1080p;Fantástico infomediaries;2022-10-04
2;Technician Cambridgeshire Borders;Granito;parse Customer client-driven;bypass dourado;toolset;Aço;2022-10-04
3;Mesa;Computadores up Rodovia;value-added;programming;connecting;invoice one-to-one Won;2022-10-04
4;up Avon;applications;bus Plástico;mão açafrão;International;card;2022-10-04
5;China cohesive Senior;Alameda SDD incentivize;Auto Genérico Alameda;virtual;SMTP Regional Integration;back Aço;2022-10-04
6;Marginal Markets;auxiliary;synthesize RAM Administrator;marca;help-desk THX infrastructures;Travessa Esportes;2022-10-05
7;Home;cinza;Realigned redundant;Accounts navigate;Lek;matrix;2022-10-04
8;Lindo JBOD Licenciado;Configuration mobile array;digital;override deposit;Integration wireless Dynamic;Bicicleta;2022-10-04
9;calculating;cobre Filmes;monitor connecting;pixel Incrível Sem;motivating Rústico connecting;Kroon Gostoso back-end;2022-10-04
10;loyalty Guatemala Sapatos;bleeding-edge;indexing;preto application;Eslovênia deposit group;THX;2022-10-04
